S? l??ng hóa ??n,S? khách,Doanh s?,Doanh thu,Gi?m giá món,Gi?m giá hóa ??n,Gi?m giá thành viên,VAT,Ph? phí,Mã c?a hàng,Tên c?a hàng,Ngày
36,208,39186700,34687420,4194650,304630,0,0,0,22,ICool ??ng ?en,28/09/2020
14,65,12418500,11879420,39080,500000,0,0,0,23,ICool Phan Chu Trinh,28/09/2020
22,134,23276300,22646444,579856,50000,0,0,0,4,ICool Xô Vi?t Ngh? T?nh,28/09/2020
28,117,29886900,27932962,1771408,145290,37240,0,0,5,ICool Tô Ký,28/09/2020
40,229,50810200,48848629,1910421,7800,43350,0,0,6,ICool Bình Phú,28/09/2020
53,312,73815800,71941350,1531800,270450,72200,67600,0,7,ICool D??ng Bá Tr?c,28/09/2020
16,100,17899900,17257495,642405,0,0,0,0,9,ICool Nguy?n S?n,28/09/2020
74,459,112957100,104869332,7266808,820960,0,571919,0,1,ICool Ung V?n Khiêm,29/09/2020
58,329,65914000,64045525,1156340,659940,52195,228960,0,10,ICool Thành Thái,29/09/2020
17,78,15054900,13161800,1893100,0,0,0,0,11,ICool Nguy?n Trãi,29/09/2020
40,255,59453300,57660570,1025670,767060,0,165020,0,12,ICool M?c ?ính Chi,29/09/2020
31,200,42990200,39476144,2004146,1509910,0,0,0,13,ICool Tr?n Bình Tr?ng,29/09/2020
55,434,106373200,99810120,2820470,3742610,0,171700,0,14,ICOOL Cách M?ng Tháng 8,29/09/2020
9,53,8889400,8573816,245784,69800,0,0,0,16,ICool C?u Ch? Y,29/09/2020
13,61,18464100,17560019,794381,109700,0,0,0,17,ICool Nh? Thiên ???ng,29/09/2020
58,472,78529800,76904530,1344370,200400,80500,173350,0,18,ICool Tr?n Não,29/09/2020
17,84,7643000,7643000,0,0,0,0,0,19,ICool Nguy?n Tri Ph??ng,29/09/2020
49,248,46701200,39521430,6107850,1071920,0,0,0,22,ICool ??ng ?en,29/09/2020
19,91,13426200,13197720,191660,36820,0,0,0,23,ICool Phan Chu Trinh,29/09/2020
36,238,46187600,44277141,1284149,415080,211230,0,0,4,ICool Xô Vi?t Ngh? T?nh,29/09/2020
21,97,20109800,18543204,1198140,368456,0,0,0,5,ICool Tô Ký,29/09/2020
32,193,37397500,35012728,1836892,547880,0,0,0,6,ICool Bình Phú,29/09/2020
58,261,73950000,71514490,1839300,596210,0,0,0,7,ICool D??ng Bá Tr?c,29/09/2020
30,186,40440700,39149964,1022406,268330,0,0,0,9,ICool Nguy?n S?n,29/09/2020
64,410,110522000,105245405,4919300,170900,186395,177390,0,1,ICool Ung V?n Khiêm,30/09/2020
63,468,88639600,85616160,1918440,1105000,0,331273,0,10,ICool Thành Thái,30/09/2020
20,92,20629800,17697400,2154400,778000,0,136650,0,11,ICool Nguy?n Trãi,30/09/2020
50,364,85334100,80889350,2877350,1567400,0,359804,0,12,ICool M?c ?ính Chi,30/09/2020
31,150,31567900,28686636,2125854,755410,0,0,0,13,ICool Tr?n Bình Tr?ng,30/09/2020
51,355,79505300,75524580,1699170,2281550,0,426717.5,0,14,ICOOL Cách M?ng Tháng 8,30/09/2020
11,44,8834400,8027340,707040,100020,0,0,0,16,ICool C?u Ch? Y,30/09/2020
28,133,41023300,37651512,2265798,1105990,0,0,117000,17,ICool Nh? Thiên ???ng,30/09/2020
60,566,96974700,93355775,2930000,354400,334525,801316.25,0,18,ICool Tr?n Não,30/09/2020
23,115,17049700,16943800,0,105900,0,0,0,19,ICool Nguy?n Tri Ph??ng,30/09/2020
47,252,58733300,52011560,6184500,493230,44010,191245,0,22,ICool ??ng ?en,30/09/2020
16,61,17007100,15691500,1201950,113650,0,0,0,23,ICool Phan Chu Trinh,30/09/2020
45,321,69015800,66029744,2617976,77160,290920,320737,0,4,ICool Xô Vi?t Ngh? T?nh,30/09/2020
38,164,46252800,42516719,2975316,537900,222865,0,0,5,ICool Tô Ký,30/09/2020
47,262,64026000,59462874,4280108,0,283018,0,0,6,ICool Bình Phú,30/09/2020
67,347,99310200,97076020,1698890,535290,0,251100,0,7,ICool D??ng Bá Tr?c,30/09/2020
31,177,32699500,31083340,1146980,469180,0,0,0,9,ICool Nguy?n S?n,30/09/2020
76,491,109399100,104319640,4506110,335200,238150,357853,0,1,ICool Ung V?n Khiêm,01/10/2020
75,493,101484000,98820620,1725510,937870,0,77780,0,10,ICool Thành Thái,01/10/2020
21,109,26636200,25864109,722091,50000,0,101690,0,11,ICool Nguy?n Trãi,01/10/2020
63,350,90102300,87549860,1912430,433480,206530,667716,0,12,ICool M?c ?ính Chi,01/10/2020
29,145,34004700,31618364,1700986,685350,0,0,0,13,ICool Tr?n Bình Tr?ng,01/10/2020
63,428,94174200,90985630,2046170,1045400,97000,336844.5,0,14,ICOOL Cách M?ng Tháng 8,01/10/2020
16,71,13315600,13231600,84000,0,0,0,0,16,ICool C?u Ch? Y,01/10/2020
25,96,33391100,31647151,1743949,0,0,0,0,17,ICool Nh? Thiên ???ng,01/10/2020
71,539,97866300,96642050,476950,493820,253480,432831,500000,18,ICool Tr?n Não,01/10/2020
28,133,24973200,24668740,76000,171520,56940,63660,0,19,ICool Nguy?n Tri Ph??ng,01/10/2020
46,215,46273800,40625600,5648200,0,0,0,0,22,ICool ??ng ?en,01/10/2020
27,114,24328700,21085685,1995160,1247855,0,0,0,23,ICool Phan Chu Trinh,01/10/2020
69,437,78078200,76301705,1477700,111450,187345,67830,0,4,ICool Xô Vi?t Ngh? T?nh,01/10/2020
28,110,31633500,30378846,1046719,124060,83875,0,0,5,ICool Tô Ký,01/10/2020
35,213,50696100,46800678,1971110,1845770,78542,252565,0,6,ICool Bình Phú,01/10/2020
70,362,100468000,98096020,2067670,304310,0,87150,0,7,ICool D??ng Bá Tr?c,01/10/2020
30,172,32684800,31880380,788820,15600,0,204495,0,9,ICool Nguy?n S?n,01/10/2020
74,590,135426600,128951148,5953902,444450,77100,411289.4,0,1,ICool Ung V?n Khiêm,02/10/2020
83,473,102419400,97432230,3202200,1462200,322770,324955,750000,10,ICool Thành Thái,02/10/2020
24,117,27713800,26042090,1346520,325190,0,142034,200000,11,ICool Nguy?n Trãi,02/10/2020
69,509,129179900,124498062,3456060,927580,298198,265682,0,12,ICool M?c ?ính Chi,02/10/2020
35,167,36550800,32998719,2673826,832440,45815,97196,0,13,ICool Tr?n Bình Tr?ng,02/10/2020
80,525,116804200,111591250,4100620,830650,281680,601226,0,14,ICOOL Cách M?ng Tháng 8,02/10/2020
20,88,19450300,17575580,1177720,697000,0,0,0,16,ICool C?u Ch? Y,02/10/2020
29,141,45998900,43602730,2396170,0,0,156110,0,17,ICool Nh? Thiên ???ng,02/10/2020
86,656,130404300,125564854,4327896,446300,65250,581546,0,18,ICool Tr?n Não,02/10/2020
28,144,26769000,26549400,100000,119600,0,52900,0,19,ICool Nguy?n Tri Ph??ng,02/10/2020
55,300,60682900,52717190,6966200,999510,0,61782.5,0,22,ICool ??ng ?en,02/10/2020
32,163,34622200,33076760,1454800,90640,0,0,100000,23,ICool Phan Chu Trinh,02/10/2020
77,483,104295900,101216180,2137600,574430,367690,198603,0,4,ICool Xô Vi?t Ngh? T?nh,02/10/2020
40,154,40667700,37045138,3226442,324850,71270,0,0,5,ICool Tô Ký,02/10/2020
49,323,73047300,68895259.25,2866847,1024150,261043.75,151740,0,6,ICool Bình Phú,02/10/2020
69,402,103235200,99655930,3089810,489460,0,214795,0,7,ICool D??ng Bá Tr?c,02/10/2020
23,150,27659400,26730500,752000,176900,0,0,0,9,ICool Nguy?n S?n,02/10/2020
129,884,221220200,208923091,11301509,927700,67900,87185,0,1,ICool Ung V?n Khiêm,03/10/2020
87,567,125043200,120357910,3424670,1202500,58120,405806.5,100000,10,ICool Thành Thái,03/10/2020
38,240,52526501,49037581,3154800,334120,0,0,0,11,ICool Nguy?n Trãi,03/10/2020
67,463,115081501,110083253,2721068,2277180,0,75880,0,12,ICool M?c ?ính Chi,03/10/2020
23,131,26576600,24448696,1100454,1027450,0,0,0,13,ICool Tr?n Bình Tr?ng,03/10/2020
82,476,104771501,101993631,2232790,364180,180900,154525,0,14,ICOOL Cách M?ng Tháng 8,03/10/2020
27,109,22490000,21265928,997312,226760,0,0,0,16,ICool C?u Ch? Y,03/10/2020
48,198,62740800,59678375,2457680,591390,13355,0,0,17,ICool Nh? Thiên ???ng,03/10/2020
78,656,121416900,116952560,2856000,1503100,105240,1081925,0,18,ICool Tr?n Não,03/10/2020
36,187,30979600,30454640,263750,196270,64940,0,0,19,ICool Nguy?n Tri Ph??ng,03/10/2020
77,453,92012000,79004275,12976650,31075,0,0,0,22,ICool ??ng ?en,03/10/2020
32,186,36550400,35375570,866410,308420,0,0,0,23,ICool Phan Chu Trinh,03/10/2020
104,689,147706700,143281610,4170830,142170,112090,181498,0,4,ICool Xô Vi?t Ngh? T?nh,03/10/2020
58,266,78302601,74246768,3022153,1033680,0,630211.1,0,5,ICool Tô Ký,03/10/2020
86,513,113639900,105512989.2,7305915,584410,236585.85,0,0,6,ICool Bình Phú,03/10/2020
75,440,115067100,111600142,2766018,700940,0,81738,0,7,ICool D??ng Bá Tr?c,03/10/2020
53,355,63031900,61224770,1388060,419070,0,0,0,9,ICool Nguy?n S?n,03/10/2020
91,589,144673400,131321973,13096527,0,254900,308380,0,1,ICool Ung V?n Khiêm,04/10/2020
72,426,86259900,83185430,2557030,517440,0,73235,400000,10,ICool Thành Thái,04/10/2020
50,249,44484100,39701100,4238720,544280,0,0,0,11,ICool Nguy?n Trãi,04/10/2020
56,365,80115401,78254581,1394500,418520,47800,0,0,12,ICool M?c ?ính Chi,04/10/2020
27,133,25963300,23868826,1496194,598280,0,0,100000,13,ICool Tr?n Bình Tr?ng,04/10/2020
50,267,65385500,62826880,2188620,370000,0,214550,0,14,ICOOL Cách M?ng Tháng 8,04/10/2020
17,97,15437000,14997130,439870,0,0,0,0,16,ICool C?u Ch? Y,04/10/2020
18,75,22676000,21509650,979310,187040,0,0,0,17,ICool Nh? Thiên ???ng,04/10/2020
61,406,80204300,78452740,1751560,0,0,22560,225000,18,ICool Tr?n Não,04/10/2020
25,126,16751200,15868200,883000,0,0,55650,0,19,ICool Nguy?n Tri Ph??ng,04/10/2020
55,347,79370900,74804320,3874500,692080,0,0,0,22,ICool ??ng ?en,04/10/2020
23,106,17198600,16411905,765860,20835,0,0,0,23,ICool Phan Chu Trinh,04/10/2020
59,355,81965900,79278280,2411720,275900,0,0,0,4,ICool Xô Vi?t Ngh? T?nh,04/10/2020
45,208,68492900,64292891,3247167,670190,282652,0,0,5,ICool Tô Ký,04/10/2020
67,443,90967400,85887742.4,4202007,714790,162860.6,60480,0,6,ICool Bình Phú,04/10/2020
69,392,100744200,98042349,2427195,221960,52696,0,0,7,ICool D??ng Bá Tr?c,04/10/2020
45,291,59901800,56789912,3055908,55980,0,98090,0,9,ICool Nguy?n S?n,04/10/2020
62,383,84713100,78347676,5703844,605550,56030,83900.5,0,1,ICool Ung V?n Khiêm,05/10/2020
48,273,60464500,56954615,2877700,392850,239335,0,0,10,ICool Thành Thái,05/10/2020
16,81,14715300,13775220,778920,161160,0,0,0,11,ICool Nguy?n Trãi,05/10/2020
33,192,50590800,48251220,1348160,991420,0,228060,48000,12,ICool M?c ?ính Chi,05/10/2020
17,86,21275100,20418720,856380,0,0,0,0,13,ICool Tr?n Bình Tr?ng,05/10/2020
41,211,49151400,46781370,1662430,642120,65480,107875,0,14,ICOOL Cách M?ng Tháng 8,05/10/2020
12,50,9189000,8799352,389648,0,0,0,200000,16,ICool C?u Ch? Y,05/10/2020
16,78,25151000,23863250,856290,431460,0,162588,0,17,ICool Nh? Thiên ???ng,05/10/2020
45,322,65146900,62849670,1808000,489230,0,234560,0,18,ICool Tr?n Não,05/10/2020
12,63,9243900,8953890,150000,140010,0,0,0,19,ICool Nguy?n Tri Ph??ng,05/10/2020
28,179,37046300,35220100,1826200,0,0,120340,0,22,ICool ??ng ?en,05/10/2020
13,79,15037500,14185370,575230,276900,0,0,0,23,ICool Phan Chu Trinh,05/10/2020
39,243,44017400,42188200,1559000,270200,0,0,0,4,ICool Xô Vi?t Ngh? T?nh,05/10/2020
41,155,45395700,39762419,5382111,251170,0,0,30000,5,ICool Tô Ký,05/10/2020
30,203,44995200,40564976.8,3809773,514460,105990.2,180113,0,6,ICool Bình Phú,05/10/2020
48,239,58639800,56201375,2034550,267175,136700,88303,0,7,ICool D??ng Bá Tr?c,05/10/2020
26,165,31791400,30485780,748080,557540,0,72250,0,9,ICool Nguy?n S?n,05/10/2020
91,623,122705901,112012461,6147040,4134920,411480,0,0,1,ICool Ung V?n Khiêm,06/10/2020
52,345,64513200,62154996,2201704,156500,0,0,0,10,ICool Thành Thái,06/10/2020
20,107,18514500,17062980,1451520,0,0,0,0,11,ICool Nguy?n Trãi,06/10/2020
47,264,58709001,56589981,1577640,541380,0,0,0,12,ICool M?c ?ính Chi,06/10/2020
36,169,36552900,33523766,2129475,849230,50429,0,0,13,ICool Tr?n Bình Tr?ng,06/10/2020
40,224,49571001,48184370.9,867000,519630.1,0,176790,0,14,ICOOL Cách M?ng Tháng 8,06/10/2020
15,72,13185600,12976512,209088,0,0,0,0,16,ICool C?u Ch? Y,06/10/2020
21,109,29396400,28133510,460040,802850,0,0,0,17,ICool Nh? Thiên ???ng,06/10/2020
57,461,98517700,94822100,3695600,0,0,983920,100000,18,ICool Tr?n Não,06/10/2020
9,47,6036600,5977040,0,59560,0,0,0,19,ICool Nguy?n Tri Ph??ng,06/10/2020
42,241,43674600,41547740,1704000,422860,0,0,0,22,ICool ??ng ?en,06/10/2020
16,80,13344600,12632570,712030,0,0,0,0,23,ICool Phan Chu Trinh,06/10/2020
42,243,49391100,46861470,2339900,72800,116930,262064,0,4,ICool Xô Vi?t Ngh? T?nh,06/10/2020
32,150,35153400,31144465,3860635,148300,0,59072.5,0,5,ICool Tô Ký,06/10/2020
41,219,58628800,55585721,2557613,455400,30066,284700.1,0,6,ICool Bình Phú,06/10/2020
72,422,98494900,94816550,3360600,317750,0,0,483000,7,ICool D??ng Bá Tr?c,06/10/2020
34,143,29745100,27725360,1771560,248180,0,158100,0,9,ICool Nguy?n S?n,06/10/2020
74,537,123479800,118143810,4702810,633180,0,77380,0,1,ICool Ung V?n Khiêm,07/10/2020
66,411,78087100,74604320,2501280,981500,0,0,0,10,ICool Thành Thái,07/10/2020
17,113,23823400,22352360,1425040,46000,0,0,0,11,ICool Nguy?n Trãi,07/10/2020
42,251,66985100,65247850,1560230,177020,0,156920,0,12,ICool M?c ?ính Chi,07/10/2020
18,122,24459700,23567316,701684,190700,0,0,0,13,ICool Tr?n Bình Tr?ng,07/10/2020
49,315,65824400,63835330,1136910,600400,251760,0,0,14,ICOOL Cách M?ng Tháng 8,07/10/2020
16,90,17495600,16470558,1025042,0,0,0,0,16,ICool C?u Ch? Y,07/10/2020
9,30,8270600,7545010,652090,73500,0,0,0,17,ICool Nh? Thiên ???ng,07/10/2020
60,482,98061400,93235400,4046000,780000,0,617475,0,18,ICool Tr?n Não,07/10/2020
20,115,15175100,14797910,191390,185800,0,0,0,19,ICool Nguy?n Tri Ph??ng,07/10/2020
47,231,48870300,46341690,1797100,686910,44600,0,0,22,ICool ??ng ?en,07/10/2020
17,63,15577700,15012190,184580,380930,0,0,0,23,ICool Phan Chu Trinh,07/10/2020
37,228,46541000,44628228,1549412,363360,0,0,0,4,ICool Xô Vi?t Ngh? T?nh,07/10/2020
29,130,30946300,27472278,2916682,557340,0,0,0,5,ICool Tô Ký,07/10/2020
36,225,47466500,44063734,2845906,505800,51060,0,0,6,ICool Bình Phú,07/10/2020
70,401,109446000,105422770,3232530,790700,0,151760,0,7,ICool D??ng Bá Tr?c,07/10/2020
29,142,28272300,27465560,806740,0,0,0,0,9,ICool Nguy?n S?n,07/10/2020
74,584,107686900,102563913.5,4263470,624880,234636.5,380684.5,0,1,ICool Ung V?n Khiêm,08/10/2020
60,404,77409300,74581485,2278970,366945,181900,140405,0,10,ICool Thành Thái,08/10/2020
20,96,16810000,16054340,747860,7800,0,0,0,11,ICool Nguy?n Trãi,08/10/2020
48,332,77157800,74041010,2346450,770340,0,723385,0,12,ICool M?c ?ính Chi,08/10/2020
33,165,40149600,36690436,2863544,537440,58180,0,0,13,ICool Tr?n Bình Tr?ng,08/10/2020
62,378,86469700,82493910,1952270,2023520,0,332235.5,0,14,ICOOL Cách M?ng Tháng 8,08/10/2020
8,43,7441800,7341000,0,100800,0,0,0,16,ICool C?u Ch? Y,08/10/2020
19,65,28198800,27435750,763050,0,0,0,200000,17,ICool Nh? Thiên ???ng,08/10/2020
68,516,99142400,96407050,2735350,0,0,99300,120000,18,ICool Tr?n Não,08/10/2020
18,65,8395100,7917100,140000,338000,0,0,0,19,ICool Nguy?n Tri Ph??ng,08/10/2020
37,236,42778900,40058860,1858000,862040,0,135300,0,22,ICool ??ng ?en,08/10/2020
15,75,16267200,15594770,439040,233390,0,44500,0,23,ICool Phan Chu Trinh,08/10/2020
48,284,50407700,48715586,1512630,80250,99234,0,0,4,ICool Xô Vi?t Ngh? T?nh,08/10/2020
31,118,31413000,27624451,3502569,233060,52920,66565,0,5,ICool Tô Ký,08/10/2020
48,259,61872600,55564477.5,4357069,1298560,652493.5,83914,0,6,ICool Bình Phú,08/10/2020
49,305,71556900,69111655,2360970,7800,76475,131850,0,7,ICool D??ng Bá Tr?c,08/10/2020
27,187,37549300,35638790,1763070,147440,0,0,0,9,ICool Nguy?n S?n,08/10/2020
77,592,123594500,116993520,6061680,511600,27700,407789,0,1,ICool Ung V?n Khiêm,09/10/2020
64,423,80044400,75940444,3009116,779860,314980,162135,0,10,ICool Thành Thái,09/10/2020
21,103,18249200,17516420,724980,7800,0,0,0,11,ICool Nguy?n Trãi,09/10/2020
65,454,129107300,122965990,5310400,606610,224300,846271,0,12,ICool M?c ?ính Chi,09/10/2020
38,222,53055200,47894503,4372007,788690,0,69404.8,0,13,ICool Tr?n Bình Tr?ng,09/10/2020
81,560,127785800,117788870,3330950,6394760,271220,217890,0,14,ICOOL Cách M?ng Tháng 8,09/10/2020
14,72,15585000,14861504,647496,76000,0,0,180000,16,ICool C?u Ch? Y,09/10/2020
26,122,36757700,34938590,1575750,243360,0,0,0,17,ICool Nh? Thiên ???ng,09/10/2020
82,619,116337400,112052920,3805000,388030,91450,440125,0,18,ICool Tr?n Não,09/10/2020
24,130,20335400,19624560,446000,264840,0,0,0,19,ICool Nguy?n Tri Ph??ng,09/10/2020
34,223,50617800,47685300,2038000,894500,0,0,0,22,ICool ??ng ?en,09/10/2020
28,167,26857800,25903490,867720,86590,0,0,0,23,ICool Phan Chu Trinh,09/10/2020
58,395,79637000,77720795,1711300,146860,58045,310662,0,4,ICool Xô Vi?t Ngh? T?nh,09/10/2020
47,192,52589500,48601969,3299901,687630,0,0,1000000,5,ICool Tô Ký,09/10/2020
62,474,128544000,115768550,7728790,5046660,0,0,0,6,ICool Bình Phú,09/10/2020
62,424,104545500,102403970,1727930,413600,0,172025,0,7,ICool D??ng Bá Tr?c,09/10/2020
19,133,25339500,24879300,460200,0,0,184790,0,9,ICool Nguy?n S?n,09/10/2020
129,992,232402201,218610171,12150970,1271630,369430,205529.5,0,1,ICool Ung V?n Khiêm,10/10/2020
76,539,115173200,110519955,4036815,557770,58660,0,0,10,ICool Thành Thái,10/10/2020
37,215,50225000,47358900,2535400,330700,0,136150,250000,11,ICool Nguy?n Trãi,10/10/2020
66,408,107488600,104469115,794840,1938300,286345,0,0,12,ICool M?c ?ính Chi,10/10/2020
40,278,59318600,54528464,4009416,780720,0,312544,0,13,ICool Tr?n Bình Tr?ng,10/10/2020
82,554,131787700,126636700,2938440,2109360,103200,173300,400000,14,ICOOL Cách M?ng Tháng 8,10/10/2020
26,135,26571400,24602512,1644028,324860,0,0,0,16,ICool C?u Ch? Y,10/10/2020
33,169,53684800,49858560,2764220,1062020,0,0,0,17,ICool Nh? Thiên ???ng,10/10/2020
86,699,143773800,137978336,5049594,518880,226990,316610,150000,18,ICool Tr?n Não,10/10/2020
38,217,38548100,36700300,1847800,0,0,240840,0,19,ICool Nguy?n Tri Ph??ng,10/10/2020
76,436,111075200,101339312.5,5432070,4198000,105817.5,0,100000,22,ICool ??ng ?en,10/10/2020
32,189,35350700,34214400,890740,245560,0,110502,0,23,ICool Phan Chu Trinh,10/10/2020
89,581,121421100,116408850,4720270,291980,0,112225,0,4,ICool Xô Vi?t Ngh? T?nh,10/10/2020
48,236,57005100,52758365,3640360,453240,153135,236909.7,0,5,ICool Tô Ký,10/10/2020
75,495,113940800,105366270,7389223,650930,534377,0,0,6,ICool Bình Phú,10/10/2020
73,471,128497600,124427740,2032520,1638100,399240,706220,0,7,ICool D??ng Bá Tr?c,10/10/2020
47,363,81845400,76328570,3536110,1980720,0,0,0,9,ICool Nguy?n S?n,10/10/2020
78,578,119991200,113425490,4417660,2148050,0,0,0,1,ICool Ung V?n Khiêm,11/10/2020
83,560,98391500,95720600,2242380,428520,0,0,20000,10,ICool Thành Thái,11/10/2020
42,267,45050802,41890282,3121920,38600,0,0,100000,11,ICool Nguy?n Trãi,11/10/2020
59,357,91857800,89760260,1202920,894620,0,806970,150000,12,ICool M?c ?ính Chi,11/10/2020
24,119,23343600,22470622,857378,15600,0,0,0,13,ICool Tr?n Bình Tr?ng,11/10/2020
54,293,68708400,67502940,725110,450850,29500,101668,0,14,ICOOL Cách M?ng Tháng 8,11/10/2020
21,108,18257400,17152600,846000,258800,0,0,0,16,ICool C?u Ch? Y,11/10/2020
28,145,44523300,41473850,2565260,484190,0,0,0,17,ICool Nh? Thiên ???ng,11/10/2020
69,494,100238100,96605300,3552000,80800,0,237810,0,18,ICool Tr?n Não,11/10/2020
25,120,19370200,18544200,826000,0,0,0,0,19,ICool Nguy?n Tri Ph??ng,11/10/2020
67,368,80226000,74331330,5508400,386270,0,0,0,22,ICool ??ng ?en,11/10/2020
29,142,28875500,28290230,500970,84300,0,0,0,23,ICool Phan Chu Trinh,11/10/2020
64,415,89573000,86595230,2850620,127150,0,255950,0,4,ICool Xô Vi?t Ngh? T?nh,11/10/2020
58,285,71417500,67393605,2785935,786000,451960,0,0,5,ICool Tô Ký,11/10/2020
53,308,67643300,62920593,4516217,206490,0,74587.5,0,6,ICool Bình Phú,11/10/2020
69,438,116583800,112884358,3171942,307590,219910,56130,0,7,ICool D??ng Bá Tr?c,11/10/2020
41,272,47557300,45159270,1858060,431720,108250,0,0,9,ICool Nguy?n S?n,11/10/2020
64,466,94044900,86939270,6736700,368930,0,689626,0,1,ICool Ung V?n Khiêm,12/10/2020
52,293,68070200,65707670,2184920,110350,67260,164995,0,10,ICool Thành Thái,12/10/2020
10,58,10847500,10510420,314540,22540,0,0,0,11,ICool Nguy?n Trãi,12/10/2020
36,247,56839200,54576000,1691980,571220,0,476317,0,12,ICool M?c ?ính Chi,12/10/2020
24,167,29812300,27995185,1061875,755240,0,0,0,13,ICool Tr?n Bình Tr?ng,12/10/2020
47,295,67205500,63904050,2002130,1286240,13080,64900,0,14,ICOOL Cách M?ng Tháng 8,12/10/2020
5,30,8348500,8070450,95830,182220,0,0,0,17,ICool Nh? Thiên ???ng,12/10/2020
55,419,75629401,73570860.9,1878000,94940.1,85600,325305,0,18,ICool Tr?n Não,12/10/2020
13,70,10404400,10270400,134000,0,0,0,0,19,ICool Nguy?n Tri Ph??ng,12/10/2020
32,192,33087400,31751500,1182700,153200,0,0,0,22,ICool ??ng ?en,12/10/2020
19,79,15283400,15062000,0,221400,0,49600,0,23,ICool Phan Chu Trinh,12/10/2020
43,251,49608000,47116000,2014190,477810,0,0,0,4,ICool Xô Vi?t Ngh? T?nh,12/10/2020
26,103,24260800,22277600,1983200,0,0,0,0,5,ICool Tô Ký,12/10/2020
38,216,50701800,47492032.6,2370430,458120,381217.4,176238,0,6,ICool Bình Phú,12/10/2020
56,346,86389800,83360200,1915150,711250,403200,473790,0,7,ICool D??ng Bá Tr?c,12/10/2020
19,90,15823600,14966620,629440,227540,0,0,0,9,ICool Nguy?n S?n,12/10/2020
76,598,125228400,117845970,6704230,366800,311400,263716,0,1,ICool Ung V?n Khi�m,13/10/2020
59,408,88003700,76683100,7149780,4087390,83430,359051.5,0,1,ICool Ung V?n Khi�m,14/10/2020
59,431,90859400,84544345.5,5638940,573720,102394.5,231867,0,1,ICool Ung V?n Khi�m,15/10/2020
92,602,144848501,140135971,3850230,862300,0,625978,0,1,ICool Ung V?n Khi�m,16/10/2020
115,853,197118000,186769790,7806260,2541950,0,208506,0,1,ICool Ung V?n Khi�m,17/10/2020
97,625,143662600,137747140,5915460,0,0,120726,0,1,ICool Ung V?n Khi�m,18/10/2020
83,485,131033300,122718770,6284260,2030270,0,163420,0,1,ICool Ung V?n Khi�m,18/11/2020
84,601,128666600,122725055,4561530,1318120,61895,117200,0,1,ICool Ung V?n Khi�m,19/11/2020
134,995,226052402,218943441.8,5913830,1195130.2,0,187100,0,1,ICool Ung V?n Khi�m,20/11/2020
76,506,108254900,103617690,4274150,363060,0,211758,0,1,ICool Ung V?n Khi�m,12/11/2020
86,618,138499100,132368520,4929330,969000,232250,182015.5,0,1,ICool Ung V?n Khi�m,13/11/2020
111,774,184072367,175593157,7208780,942090,328340,443502.5,0,1,ICool Ung V?n Khi�m,14/11/2020
86,646,139559800,132505142,4783570,1926900,344188,326978.6,0,1,ICool Ung V?n Khi�m,15/11/2020
62,386,84846000,81007880,3838120,0,0,368764,0,1,ICool Ung V?n Khi�m,16/11/2020
79,454,108657900,102488840,5135830,1033230,0,88330.5,0,1,ICool Ung V?n Khi�m,17/11/2020
81,603,140916100,134869197,5741990,116800,188113,393417.5,0,1,ICool Ung V?n Khi�m,06/11/2020
126,868,204348401,194376896,9173190,673430,124885,181732.5,0,1,ICool Ung V?n Khi�m,07/11/2020
70,531,115221800,108109510,3314390,3711950,85950,0,0,1,ICool Ung V?n Khi�m,08/11/2020
55,375,77909000,74042680,3357120,509200,0,205546,0,1,ICool Ung V?n Khi�m,09/11/2020
72,503,116252401,109033011,4833620,2017780,367990,526784,0,1,ICool Ung V?n Khi�m,10/11/2020
81,571,120300800,113247855,4070560,2871570,110815,196840,0,1,ICool Ung V?n Khi�m,11/11/2020
100,707,175446600,167705745,6812590,636040,292225,209795,0,1,ICool Ung V?n Khi�m,31/10/2020
80,566,103940500,100390015,3072110,428450,49925,0,0,1,ICool Ung V?n Khi�m,01/11/2020
53,308,83500500,75914200,2675350,4910950,0,231119,0,1,ICool Ung V?n Khi�m,02/11/2020
49,316,75347100,72361870,2319750,665480,0,160950,0,1,ICool Ung V?n Khi�m,03/11/2020
59,383,85930901,81589081,2888820,1453000,0,131580,0,1,ICool Ung V?n Khi�m,04/11/2020
67,508,102563402,98398947,3313805,768200,82450,221850,0,1,ICool Ung V?n Khi�m,05/11/2020
62,458,106709200,100843585,5135020,488540,242055,0,0,1,ICool Ung V?n Khi�m,25/10/2020
52,332,64713300,62050460,1657840,1005000,0,281895,0,1,ICool Ung V?n Khi�m,26/10/2020
50,319,77007400,71389450,3039090,2578860,0,214640,0,1,ICool Ung V?n Khi�m,27/10/2020
62,439,95845502,90737362,4630150,327800,150190,394207,0,1,ICool Ung V?n Khi�m,28/10/2020
61,442,82841966,79878499.4,2617796.6,260120,85550,63630,0,1,ICool Ung V?n Khi�m,29/10/2020
92,616,151108201,145182641,5719210,7800,198550,522128.5,0,1,ICool Ung V?n Khi�m,30/10/2020
69,441,95798001,89883229,5495577,302800,116395,576039.25,0,1,ICool Ung V?n Khi�m,19/10/2020
105,723,178692934,172078770.7,6492683.3,0,121480,652490,0,1,ICool Ung V?n Khi�m,20/10/2020
60,379,82038000,77466530,2917470,1654000,0,231312,0,1,ICool Ung V?n Khi�m,21/10/2020
